"code","country","wave","F115","F116","F117","F118","F119","F120","F121","F122","F123","X049","c2","c3","name"
643,"RU",6,3.7396,2.8084,1.9728,2.122,2.4528,3.7872,5.498,5,1.8316,5.2532,"RU"," RUS"," RUSSIAN FEDERATION"
702,"SG",4,2.4484126984127,2.03439153439153,1.74206349206349,2.36838624338624,2.12896825396825,2.66468253968254,3.41666666666667,3.56415343915344,1.93981481481481,5,"SG"," SGP"," SINGAPORE"
702,"SG",6,2.98478701825558,2.53397565922921,2.47515212981744,3.57809330628803,3.5157200811359,3.76876267748479,4.39553752535497,5,3.0973630831643,5,"SG"," SGP"," SINGAPORE"
724,"ES",2,2.02980132450331,2.20331125827815,1.29403973509934,3.99337748344371,3.2046357615894,4.40794701986755,5.61059602649007,3.81059602649007,2.0476821192053,5.25695364238411,"ES"," ESP"," SPAIN"
724,"ES",3,1.89760528488852,1.84310487200661,1.36085879438481,5.0503715937242,4.06606110652353,4.13047068538398,5.74896779521057,4.50041288191577,2.50619322873658,5.26754748142031,"ES"," ESP"," SPAIN"
724,"ES",4,2.17948717948718,2.10339123242349,1.58395368072787,5.83209263854425,4.4722911497105,4.65922249793218,6.23573200992556,4.6848635235732,2.90239867659223,5.23325062034739,"ES"," ESP"," SPAIN"
724,"ES",5,2.34,2.01,1.79833333333333,6.13083333333333,4.32583333333333,5.22583333333333,6.81166666666667,5.06416666666667,2.76083333333333,5,"ES"," ESP"," SPAIN"
724,"ES",6,2.07064760302775,1.70227081581161,1.39024390243902,6.64507989907485,5,5.22035323801514,7.30866274179983,5,2.62237174095879,5,"ES"," ESP"," SPAIN"
752,"SE",3,2.87314172447968,2.55302279484638,1.78394449950446,6.48463825569871,3.65113974231913,6.93954410307235,7.34786917740337,6.38453914767096,4.12784935579782,5,"SE"," SWE"," SWEDEN"
752,"SE",5,2.70787637088734,2.2642073778664,1.96011964107677,8.13858424725823,2.93818544366899,7.70289132602193,8.27417746759721,6.44765702891326,4.0777666999003,6.0209371884347,"SE"," SWE"," SWEDEN"
752,"SE",6,2.68822553897181,1.99917081260365,1.77694859038143,7.98839137645108,2.88308457711443,7.61028192371476,8.09286898839138,5.44278606965174,4.19568822553897,6.16169154228856,"SE"," SWE"," SWEDEN"
756,"CH",2,1.65285714285714,2.26857142857143,1.51357142857143,3.74285714285714,3.36071428571429,3.02785714285714,4.49142857142857,4.80428571428571,2.69142857142857,3.19,"CH"," CHE"," SWITZERLAND"
756,"CH",3,2.23927392739274,2.58003300330033,1.53465346534653,5.62871287128713,4.72937293729373,4.83828382838284,6.08250825082508,5.82343234323432,3.34240924092409,3.43399339933993,"CH"," CHE"," SWITZERLAND"
756,"CH",5,1.79935535858179,2.06849315068493,1.50684931506849,6.58098307816277,4.58098307816277,5.26188557614827,6.63255439161966,6.34165995165189,4.0781627719581,5,"CH"," CHE"," SWITZERLAND"
764,"TH",5,3.40808344198175,2.7470664928292,2.8109517601043,3.07431551499348,2.7470664928292,2.44719687092568,3.27835723598435,3.35202086049544,2.41329856584094,1.62907431551499,"TH"," THA"," THAILAND"
764,"TH",6,2.13916666666667,1.62916666666667,1.67916666666667,2.77083333333333,1.89333333333333,1.91,3.3975,3.94333333333333,1.74166666666667,1.83916666666667,"TH"," THA"," THAILAND"
826,"GB-GBN",3,5,5,5,4.91308325709058,4.3284537968893,5.05855443732845,6.30466605672461,5,5,5,"GB"," GBR"," UNITED KINGDOM"
826,"GB-GBN",5,2.26705091258405,2.16234390009606,1.5792507204611,4.82036503362152,3.47646493756004,4.52929875120077,6.01152737752161,5.50240153698367,3.31219980787704,6.00576368876081,"GB"," GBR"," UNITED KINGDOM"
840,"US",3,1.81582360570687,1.65110246433204,1.19260700389105,3.32230869001297,2.31906614785992,3.68352788586252,5.07652399481193,4.30155642023346,2.14785992217899,4.92217898832685,"US"," USA"," UNITED STATES"
840,"US",4,2.63416666666667,2.2175,1.55583333333333,4.66333333333333,2.9875,4.32333333333333,5.89416666666667,5.00416666666667,2.61,6.29916666666667,"US"," USA"," UNITED STATES"
840,"US",5,2.12409927942354,1.66533226581265,1.31385108086469,4.01441152922338,2.79983987189752,3.98078462770216,5.2658126501201,4.46677341873499,2.38430744595677,4.46196957566053,"US"," USA"," UNITED STATES"
840,"US",6,2.36111111111111,1.74059139784946,1.58646953405018,5.15501792114695,5,4.60931899641577,5.96057347670251,5,2.89695340501792,5,"US"," USA"," UNITED STATES"
862,"VE",3,1.76666666666667,1.93583333333333,2.32,1.8975,2.17166666666667,2.20083333333333,4.66833333333333,2.52666666666667,1.65666666666667,6.08333333333333,"VE"," VEN"," VENEZUELA"
862,"VE",4,2.83416666666667,1.805,1.61166666666667,2.405,2.20083333333333,1.98333333333333,4.73666666666667,3.05833333333333,1.54166666666667,6.83166666666667,"VE"," VEN"," VENEZUELA"
